                                             LOG (LUMINOSITY)
               |-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
WAVELENGTH [A]    1 Myr          2 Myr          3 Myr          4 Myr          5 Myr          6 Myr          7 Myr          8 Myr          9 Myr          10 Myr         11 Myr         12 Myr         13 Myr        14 Myr         15 Myr         16 Myr          17 Myr        18 Myr         19 Myr         20 Myr
1.23700e+03    3.91146e+01    3.94053e+01    3.95862e+01    3.97184e+01    3.98300e+01    3.99346e+01    4.00110e+01    4.00638e+01    4.01046e+01    4.01369e+01    4.01630e+01    4.01845e+01    4.02032e+01    4.02193e+01    4.02335e+01    4.02458e+01    4.02573e+01    4.02675e+01    4.02766e+01    4.02850e+01    
1.23775e+03    3.91116e+01    3.94026e+01    3.95838e+01    3.97166e+01    3.98284e+01    3.99345e+01    4.00124e+01    4.00661e+01    4.01073e+01    4.01399e+01    4.01662e+01    4.01878e+01    4.02066e+01    4.02227e+01    4.02371e+01    4.02495e+01    4.02610e+01    4.02713e+01    4.02805e+01    4.02890e+01    
1.23850e+03    3.91203e+01    3.94113e+01    3.95926e+01    3.97258e+01    3.98382e+01    3.99457e+01    4.00240e+01    4.00778e+01    4.01189e+01    4.01514e+01    4.01776e+01    4.01992e+01    4.02178e+01    4.02339e+01    4.02481e+01    4.02605e+01    4.02720e+01    4.02822e+01    4.02914e+01    4.02998e+01    
1.23925e+03    3.91551e+01    3.94465e+01    3.96292e+01    3.97643e+01    3.98798e+01    3.99847e+01    4.00599e+01    4.01113e+01    4.01503e+01    4.01814e+01    4.02067e+01    4.02273e+01    4.02452e+01    4.02606e+01    4.02742e+01    4.02861e+01    4.02971e+01    4.03069e+01    4.03157e+01    4.03238e+01    
1.24000e+03    3.91559e+01    3.94459e+01    3.96267e+01    3.97602e+01    3.98737e+01    3.99806e+01    4.00581e+01    4.01108e+01    4.01504e+01    4.01819e+01    4.02075e+01    4.02284e+01    4.02464e+01    4.02619e+01    4.02756e+01    4.02875e+01    4.02985e+01    4.03083e+01    4.03172e+01    4.03253e+01    
1.24075e+03    3.91713e+01    3.94629e+01    3.96457e+01    3.97809e+01    3.98954e+01    4.00008e+01    4.00763e+01    4.01276e+01    4.01659e+01    4.01966e+01    4.02215e+01    4.02418e+01    4.02593e+01    4.02743e+01    4.02876e+01    4.02992e+01    4.03099e+01    4.03195e+01    4.03281e+01    4.03361e+01    
1.24150e+03    3.91832e+01    3.94753e+01    3.96589e+01    3.97951e+01    3.99113e+01    4.00157e+01    4.00897e+01    4.01399e+01    4.01774e+01    4.02074e+01    4.02319e+01    4.02518e+01    4.02690e+01    4.02837e+01    4.02968e+01    4.03081e+01    4.03187e+01    4.03281e+01    4.03366e+01    4.03443e+01    
1.24225e+03    3.91870e+01    3.94799e+01    3.96642e+01    3.98007e+01    3.99175e+01    4.00209e+01    4.00939e+01    4.01434e+01    4.01803e+01    4.02099e+01    4.02341e+01    4.02537e+01    4.02706e+01    4.02851e+01    4.02980e+01    4.03091e+01    4.03195e+01    4.03288e+01    4.03372e+01    4.03448e+01    
1.24300e+03    3.91887e+01    3.94816e+01    3.96662e+01    3.98042e+01    3.99221e+01    4.00246e+01    4.00965e+01    4.01450e+01    4.01812e+01    4.02102e+01    4.02340e+01    4.02532e+01    4.02698e+01    4.02840e+01    4.02966e+01    4.03075e+01    4.03177e+01    4.03269e+01    4.03351e+01    4.03426e+01    
1.24375e+03    3.92206e+01    3.95149e+01    3.97021e+01    3.98422e+01    3.99617e+01    4.00598e+01    4.01267e+01    4.01715e+01    4.02051e+01    4.02322e+01    4.02543e+01    4.02723e+01    4.02879e+01    4.03012e+01    4.03131e+01    4.03235e+01    4.03331e+01    4.03418e+01    4.03496e+01    4.03568e+01    
1.24450e+03    3.92026e+01    3.94968e+01    3.96834e+01    3.98224e+01    3.99409e+01    4.00393e+01    4.01073e+01    4.01530e+01    4.01874e+01    4.02149e+01    4.02373e+01    4.02556e+01    4.02714e+01    4.02849e+01    4.02970e+01    4.03076e+01    4.03174e+01    4.03262e+01    4.03342e+01    4.03415e+01    
1.24525e+03    3.92015e+01    3.94966e+01    3.96843e+01    3.98240e+01    3.99430e+01    4.00395e+01    4.01054e+01    4.01497e+01    4.01834e+01    4.02103e+01    4.02322e+01    4.02502e+01    4.02657e+01    4.02791e+01    4.02910e+01    4.03015e+01    4.03113e+01    4.03201e+01    4.03280e+01    4.03353e+01    
