                                             LOG (LUMINOSITY)
               |-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
WAVELENGTH [A]    1 Myr          2 Myr          3 Myr          4 Myr          5 Myr          6 Myr          7 Myr          8 Myr          9 Myr          10 Myr         11 Myr         12 Myr         13 Myr        14 Myr         15 Myr         16 Myr          17 Myr        18 Myr         19 Myr         20 Myr          30Myr          40Myr          50Myr           60Myr         70Myr           80Myr         90Myr           100Myr
1.02180e+03    3.92886e+01    3.95828e+01    3.97695e+01    3.99088e+01    4.00256e+01    4.01178e+01    4.01811e+01    4.02249e+01    4.02571e+01    4.02825e+01    4.03031e+01    4.03199e+01    4.03343e+01    4.03462e+01    4.03563e+01    4.03646e+01    4.03719e+01    4.03782e+01    4.03836e+01    4.03884e+01    4.04166e+01    4.04287e+01    4.04344e+01    4.04373e+01    4.04391e+01    4.04404e+01    4.04413e+01    4.04419e+01    
1.02200e+03    3.92891e+01    3.95835e+01    3.97701e+01    3.99088e+01    4.00257e+01    4.01178e+01    4.01813e+01    4.02251e+01    4.02570e+01    4.02821e+01    4.03025e+01    4.03190e+01    4.03333e+01    4.03451e+01    4.03552e+01    4.03635e+01    4.03708e+01    4.03770e+01    4.03824e+01    4.03873e+01    4.04150e+01    4.04265e+01    4.04316e+01    4.04342e+01    4.04357e+01    4.04368e+01    4.04376e+01    4.04382e+01    
1.02220e+03    3.92779e+01    3.95720e+01    3.97579e+01    3.98949e+01    4.00117e+01    4.01055e+01    4.01711e+01    4.02170e+01    4.02508e+01    4.02773e+01    4.02984e+01    4.03154e+01    4.03299e+01    4.03418e+01    4.03519e+01    4.03603e+01    4.03676e+01    4.03739e+01    4.03794e+01    4.03843e+01    4.04117e+01    4.04224e+01    4.04269e+01    4.04291e+01    4.04303e+01    4.04313e+01    4.04322e+01    4.04328e+01    
1.02240e+03    3.92502e+01    3.95436e+01    3.97283e+01    3.98627e+01    3.99783e+01    4.00729e+01    4.01391e+01    4.01851e+01    4.02191e+01    4.02456e+01    4.02669e+01    4.02841e+01    4.02986e+01    4.03105e+01    4.03207e+01    4.03290e+01    4.03363e+01    4.03425e+01    4.03479e+01    4.03527e+01    4.03801e+01    4.03914e+01    4.03963e+01    4.03986e+01    4.04000e+01    4.04011e+01    4.04019e+01    4.04026e+01    
1.02260e+03    3.92214e+01    3.95145e+01    3.96987e+01    3.98325e+01    3.99476e+01    4.00424e+01    4.01087e+01    4.01546e+01    4.01882e+01    4.02146e+01    4.02360e+01    4.02532e+01    4.02679e+01    4.02799e+01    4.02901e+01    4.02984e+01    4.03056e+01    4.03117e+01    4.03170e+01    4.03217e+01    4.03490e+01    4.03608e+01    4.03660e+01    4.03685e+01    4.03698e+01    4.03708e+01    4.03715e+01    4.03721e+01    
1.02280e+03    3.92020e+01    3.94953e+01    3.96801e+01    3.98156e+01    3.99319e+01    4.00273e+01    4.00949e+01    4.01418e+01    4.01760e+01    4.02027e+01    4.02244e+01    4.02419e+01    4.02569e+01    4.02691e+01    4.02794e+01    4.02878e+01    4.02950e+01    4.03011e+01    4.03063e+01    4.03109e+01    4.03379e+01    4.03497e+01    4.03552e+01    4.03580e+01    4.03596e+01    4.03607e+01    4.03616e+01    4.03621e+01    
1.02300e+03    3.91945e+01    3.94879e+01    3.96733e+01    3.98106e+01    3.99292e+01    4.00275e+01    4.00974e+01    4.01461e+01    4.01815e+01    4.02091e+01    4.02312e+01    4.02489e+01    4.02638e+01    4.02761e+01    4.02864e+01    4.02948e+01    4.03021e+01    4.03083e+01    4.03136e+01    4.03183e+01    4.03453e+01    4.03569e+01    4.03624e+01    4.03654e+01    4.03672e+01    4.03684e+01    4.03693e+01    4.03699e+01    
1.02320e+03    3.91786e+01    3.94709e+01    3.96548e+01    3.97899e+01    3.99091e+01    4.00081e+01    4.00793e+01    4.01286e+01    4.01640e+01    4.01912e+01    4.02131e+01    4.02306e+01    4.02454e+01    4.02576e+01    4.02678e+01    4.02760e+01    4.02831e+01    4.02891e+01    4.02942e+01    4.02987e+01    4.03249e+01    4.03362e+01    4.03412e+01    4.03436e+01    4.03450e+01    4.03461e+01    4.03469e+01    4.03475e+01    
1.02340e+03    3.91639e+01    3.94551e+01    3.96379e+01    3.97718e+01    3.98934e+01    3.99941e+01    4.00666e+01    4.01166e+01    4.01522e+01    4.01794e+01    4.02011e+01    4.02184e+01    4.02331e+01    4.02450e+01    4.02549e+01    4.02629e+01    4.02697e+01    4.02754e+01    4.02802e+01    4.02846e+01    4.03097e+01    4.03210e+01    4.03257e+01    4.03279e+01    4.03292e+01    4.03302e+01    4.03310e+01    4.03316e+01    
1.02360e+03    3.91441e+01    3.94341e+01    3.96150e+01    3.97457e+01    3.98669e+01    3.99677e+01    4.00408e+01    4.00910e+01    4.01263e+01    4.01531e+01    4.01747e+01    4.01921e+01    4.02068e+01    4.02187e+01    4.02286e+01    4.02365e+01    4.02433e+01    4.02488e+01    4.02536e+01    4.02578e+01    4.02832e+01    4.02953e+01    4.03004e+01    4.03028e+01    4.03041e+01    4.03051e+01    4.03059e+01    4.03066e+01    
