                                             NORMALIZED SPECTRUM
               |-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
WAVELENGTH [A]    1 Myr          2 Myr          3 Myr          4 Myr          5 Myr          6 Myr          7 Myr          8 Myr          9 Myr          10 Myr         11 Myr         12 Myr         13 Myr        14 Myr         15 Myr         16 Myr          17 Myr        18 Myr         19 Myr         20 Myr
1.22950e+03    6.19000e-01    5.81900e-01    6.12100e-01    6.97100e-01    7.78100e-01    8.33200e-01    8.59100e-01    8.66900e-01    8.71100e-01    8.54200e-01    8.51000e-01    8.46500e-01    8.41700e-01    8.28500e-01    8.10600e-01    7.99500e-01    7.86700e-01    7.74000e-01    7.67800e-01    7.58800e-01    
1.23025e+03    6.34000e-01    5.84700e-01    5.93600e-01    6.86100e-01    7.82400e-01    8.34300e-01    8.63900e-01    8.74800e-01    8.82400e-01    8.65000e-01    8.63700e-01    8.61700e-01    8.60000e-01    8.48000e-01    8.31400e-01    8.21200e-01    8.09100e-01    7.97600e-01    7.92000e-01    7.83700e-01    
1.23100e+03    6.52300e-01    6.17400e-01    6.23700e-01    7.08200e-01    8.06200e-01    8.50200e-01    8.67600e-01    8.78000e-01    8.86800e-01    8.71400e-01    8.70600e-01    8.69800e-01    8.68700e-01    8.57200e-01    8.40500e-01    8.30500e-01    8.19600e-01    8.08700e-01    8.03800e-01    7.96500e-01    
1.23175e+03    6.72000e-01    6.36400e-01    6.48000e-01    7.16000e-01    8.22400e-01    8.54000e-01    8.67000e-01    8.77900e-01    8.87200e-01    8.72400e-01    8.72500e-01    8.72500e-01    8.73100e-01    8.63100e-01    8.48700e-01    8.39800e-01    8.29900e-01    8.19900e-01    8.15600e-01    8.08700e-01    
1.23250e+03    6.54400e-01    6.07700e-01    6.29800e-01    6.95800e-01    8.10400e-01    8.48100e-01    8.65000e-01    8.77400e-01    8.87200e-01    8.72200e-01    8.73700e-01    8.74700e-01    8.77500e-01    8.69700e-01    8.58300e-01    8.51000e-01    8.42100e-01    8.33400e-01    8.29600e-01    8.23000e-01    
1.23325e+03    6.59000e-01    6.08700e-01    6.16800e-01    6.76800e-01    7.92100e-01    8.40200e-01    8.62300e-01    8.80600e-01    8.92900e-01    8.74600e-01    8.80200e-01    8.84000e-01    8.90000e-01    8.85000e-01    8.76800e-01    8.72000e-01    8.64200e-01    8.56900e-01    8.54100e-01    8.47800e-01    
1.23400e+03    6.89700e-01    6.44600e-01    6.31200e-01    6.93400e-01    8.07300e-01    8.52600e-01    8.73000e-01    8.96000e-01    9.11100e-01    8.91700e-01    9.00700e-01    9.07100e-01    9.14900e-01    9.11000e-01    9.04000e-01    9.00600e-01    8.93600e-01    8.86600e-01    8.84200e-01    8.78600e-01    
1.23475e+03    7.10200e-01    6.58600e-01    6.29100e-01    6.98600e-01    8.26400e-01    8.71000e-01    8.94300e-01    9.22000e-01    9.40300e-01    9.21400e-01    9.33500e-01    9.42300e-01    9.50700e-01    9.46300e-01    9.38800e-01    9.35900e-01    9.29500e-01    9.21700e-01    9.19100e-01    9.14500e-01    
1.23550e+03    6.90000e-01    6.43700e-01    6.08600e-01    6.76900e-01    8.12900e-01    8.67000e-01    8.97200e-01    9.22000e-01    9.37700e-01    9.23600e-01    9.35000e-01    9.43000e-01    9.51100e-01    9.48300e-01    9.43500e-01    9.41900e-01    9.37200e-01    9.30800e-01    9.29000e-01    9.25700e-01    
1.23625e+03    6.84100e-01    6.32600e-01    6.03600e-01    6.75700e-01    8.09700e-01    8.67500e-01    8.98900e-01    9.20300e-01    9.32800e-01    9.23000e-01    9.33200e-01    9.40000e-01    9.48600e-01    9.47900e-01    9.46700e-01    9.47000e-01    9.43500e-01    9.39200e-01    9.38000e-01    9.35800e-01    
1.23700e+03    6.84600e-01    6.33900e-01    6.09600e-01    6.74800e-01    8.05600e-01    8.62100e-01    8.99700e-01    9.18400e-01    9.27100e-01    9.20600e-01    9.29200e-01    9.33800e-01    9.44800e-01    9.47200e-01    9.50900e-01    9.53900e-01    9.51000e-01    9.49400e-01    9.48600e-01    9.46700e-01    
1.23775e+03    6.94000e-01    6.48600e-01    6.25700e-01    6.99600e-01    8.18000e-01    8.75000e-01    9.18200e-01    9.34800e-01    9.41000e-01    9.36600e-01    9.43600e-01    9.46400e-01    9.58400e-01    9.61900e-01    9.67500e-01    9.71400e-01    9.68500e-01    9.67800e-01    9.67000e-01    9.64800e-01    
1.23850e+03    7.36500e-01    6.98200e-01    6.70800e-01    7.32700e-01    8.42000e-01    9.04200e-01    9.44300e-01    9.58600e-01    9.62600e-01    9.60200e-01    9.65600e-01    9.66700e-01    9.78600e-01    9.82200e-01    9.88300e-01    9.92400e-01    9.89300e-01    9.88800e-01    9.87900e-01    9.85500e-01    
1.23925e+03    8.00000e-01    7.67000e-01    7.64000e-01    8.38000e-01    9.09300e-01    9.50800e-01    9.79600e-01    9.87100e-01    9.88000e-01    9.90600e-01    9.93100e-01    9.92400e-01    1.00060e+00    1.00320e+00    1.00780e+00    1.01080e+00    1.00820e+00    1.00770e+00    1.00710e+00    1.00580e+00    
1.24000e+03    7.74000e-01    7.45300e-01    7.54000e-01    8.12700e-01    9.11900e-01    9.68000e-01    1.00220e+00    1.00460e+00    1.00180e+00    1.00880e+00    1.00840e+00    1.00540e+00    1.01120e+00    1.01320e+00    1.01760e+00    1.02030e+00    1.01810e+00    1.01780e+00    1.01710e+00    1.01630e+00    
